Stock,NVDA,NFLX,DXCM,ABMD,CZR,MSCI,LDOS,ODFL,POOL,MRNA,DPZ,MKTX,EXR,LLY
NVDA,1,0.340089941,0.282608727,0.287139296,0.31138086,0.48373609,0.130182622,0.387013541,0.372005607,0.083512274,0.28037031,0.258849503,0.166443987,0.231568241
NFLX,0.340089941,1,0.205571879,0.206870228,0.140476733,0.321464957,0.08021953,0.24860363,0.244334648,0.031322317,0.22761498,0.205226577,0.145961184,0.196301143
DXCM,0.282608727,0.205571879,1,0.312509228,0.180856518,0.372732777,0.118274035,0.247734127,0.274490981,0.070472279,0.220466204,0.264066632,0.159791518,0.161100858
ABMD,0.287139296,0.206870228,0.312509228,1,0.179892745,0.279936159,0.083983857,0.249525943,0.223479725,0.046402343,0.191174553,0.176095124,0.140092012,0.189636845
CZR,0.31138086,0.140476733,0.180856518,0.179892745,1,0.327620082,0.128391727,0.339537362,0.234262155,-0.037353173,0.121051485,0.136497256,0.129770025,0.104996731
MSCI,0.48373609,0.321464957,0.372732777,0.279936159,0.327620082,1,0.170474133,0.460147253,0.454836882,0.066857439,0.302801723,0.457832859,0.275055658,0.31388926
LDOS,0.130182622,0.08021953,0.118274035,0.083983857,0.128391727,0.170474133,1,0.173337071,0.144416777,0.010950978,0.090022529,0.113811714,0.115423511,0.119355046
ODFL,0.387013541,0.24860363,0.247734127,0.249525943,0.339537362,0.460147253,0.173337071,1,0.45206903,0.015986008,0.229949812,0.271377035,0.225824242,0.233599416
POOL,0.372005607,0.244334648,0.274490981,0.223479725,0.234262155,0.454836882,0.144416777,0.45206903,1,-0.0020959,0.305020474,0.361588837,0.358308173,0.311215183
MRNA,0.083512274,0.031322317,0.070472279,0.046402343,-0.037353173,0.066857439,0.010950978,0.015986008,-0.0020959,1,0.009867484,0.087174948,0.032155114,0.093215248
DPZ,0.28037031,0.22761498,0.220466204,0.191174553,0.121051485,0.302801723,0.090022529,0.229949812,0.305020474,0.009867484,1,0.222975227,0.182939811,0.178036657
MKTX,0.258849503,0.205226577,0.264066632,0.176095124,0.136497256,0.457832859,0.113811714,0.271377035,0.361588837,0.087174948,0.222975227,1,0.261192372,0.236815038
EXR,0.166443987,0.145961184,0.159791518,0.140092012,0.129770025,0.275055658,0.115423511,0.225824242,0.358308173,0.032155114,0.182939811,0.261192372,1,0.25931392
LLY,0.231568241,0.196301143,0.161100858,0.189636845,0.104996731,0.31388926,0.119355046,0.233599416,0.311215183,0.093215248,0.178036657,0.236815038,0.25931392,1
